Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
11994, 93639.00, 0.08, 0.07, 0.81, 6.75,-0.14, 5.70,21.60, -103.96, -700.12, 108.56, -1.67
12084, 93636.00, 0.09, 0.06, 0.81, 6.82,-0.21, 5.70,21.59, -105.80, -699.20, 111.32, -1.68
12211, 93633.00, 0.09, 0.06, 0.80, 6.82,-0.14, 5.70,21.58, -105.80, -701.04, 112.24, -1.67
12321, 93627.00, 0.09, 0.07, 0.81, 6.75,-0.21, 5.70,21.58, -103.04, -698.28, 113.16, -1.67
12412, 93639.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.70,21.60, -103.96, -698.28, 110.40, -1.67
12502, 93627.00, 0.09, 0.06, 0.82, 6.75,-0.14, 5.70,21.58, -103.96, -698.28, 112.24, -1.67
12592, 93641.00, 0.09, 0.06, 0.82, 6.82,-0.21, 5.70,21.59, -105.80, -700.12, 112.24, -1.68
12683, 93636.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,21.59, -103.96, -699.20, 113.16, -1.67
12776, 93641.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,21.59, -103.96, -698.28, 112.24, -1.67
12866, 93644.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.77,21.60, -104.88, -698.28, 114.08, -1.67
12957, 93633.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.59, -103.96, -698.28, 112.24, -1.67
13048, 93630.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,21.60, -103.96, -699.20, 112.24, -1.67
13138, 93627.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.60, -108.56, -698.28, 111.32, -1.68
13250, 93633.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.58, -103.04, -695.52, 113.16, -1.67
13340, 93625.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.59, -103.04, -698.28, 111.32, -1.67
13430, 93633.00, 0.09, 0.08, 0.81, 6.82,-0.14, 5.70,21.60, -105.80, -697.36, 111.32, -1.68
13520, 93627.00, 0.10, 0.06, 0.81, 6.82,-0.14, 5.70,21.59, 
